"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
8.186787917E-1,-1.930885315E0,1.806875610E1,-1.335205078E1,2.254962362E1
8.286587917E-1,-1.930885315E0,1.806875610E1,-1.335205078E1,2.254962362E1
8.386677917E-1,-1.732971191E0,1.766225243E1,-1.346517944E1,2.227710500E1
8.486777917E-1,-1.732971191E0,1.766225243E1,-1.346517944E1,2.227710500E1
8.586877917E-1,2.918144226E0,3.057874680E1,-9.709564209E0,3.221569429E1
8.686977917E-1,2.918144226E0,3.057874680E1,-9.709564209E0,3.221569429E1
8.787067917E-1,4.853500366E0,3.503559875E1,-8.376953125E0,3.634863119E1
8.887167916E-1,4.853500366E0,3.503559875E1,-8.376953125E0,3.634863119E1
8.987267917E-1,4.914733887E0,3.547427750E1,-8.164276123E0,3.673192586E1
9.087367917E-1,4.914733887E0,3.547427750E1,-8.164276123E0,3.673192586E1
9.187467917E-1,4.873908997E0,3.571973419E1,-8.191680908E0,3.696969077E1
9.287557917E-1,4.873908997E0,3.571973419E1,-8.191680908E0,3.696969077E1
9.387657917E-1,4.743835449E0,3.587990189E1,-8.230560303E0,3.711621555E1
9.487757917E-1,4.743835449E0,3.587990189E1,-8.230560303E0,3.711621555E1
9.587857916E-1,4.832641602E0,3.542822647E1,-8.209411621E0,3.668662011E1
9.687947917E-1,4.832641602E0,3.542822647E1,-8.209411621E0,3.668662011E1
9.788047917E-1,4.906616211E0,3.543307877E1,-8.104431152E0,3.667778289E1
9.888147917E-1,4.906616211E0,3.543307877E1,-8.104431152E0,3.667778289E1
9.988247917E-1,5.080673218E0,3.573880005E1,-8.193328857E0,3.701628975E1
1.008833792E0,5.080673218E0,3.573880005E1,-8.193328857E0,3.701628975E1
1.018843792E0,5.115264893E0,3.573921585E1,-8.107757568E0,3.700261095E1
1.028822792E0,5.115264893E0,3.573921585E1,-8.107757568E0,3.700261095E1
1.038832792E0,4.997100830E0,3.561810684E1,-8.248626709E0,3.690068284E1
1.048842792E0,4.997100830E0,3.561810684E1,-8.248626709E0,3.690068284E1
1.058852792E0,4.798332214E0,3.575571060E1,-7.909088135E0,3.693302733E1
1.068861792E0,4.798332214E0,3.575571060E1,-7.909088135E0,3.693302733E1
1.078871792E0,4.911659241E0,3.566545868E1,-8.086669922E0,3.689909985E1
1.088881792E0,4.911659241E0,3.566545868E1,-8.086669922E0,3.689909985E1
1.098891792E0,5.097091675E0,3.556805038E1,-8.033599854E0,3.681854530E1
1.108901792E0,4.885650635E0,3.556084824E1,-8.218170166E0,3.682365857E1
1.118910792E0,4.885650635E0,3.556084824E1,-8.218170166E0,3.682365857E1
1.128920792E0,1.733932495E-1,2.297765350E1,-1.180300903E1,2.583241468E1
1.138930792E0,1.733932495E-1,2.297765350E1,-1.180300903E1,2.583241468E1
1.148940792E0,-1.674316406E0,1.834413910E1,-1.323593140E1,2.268260688E1
1.158949792E0,-1.674316406E0,1.834413910E1,-1.323593140E1,2.268260688E1
1.168959792E0,-1.940055847E0,1.764328957E1,-1.339367676E1,2.223600820E1
1.178969792E0,-1.940055847E0,1.764328957E1,-1.339367676E1,2.223600820E1
1.188979792E0,-1.690368652E0,1.785081673E1,-1.349102783E1,2.243918082E1
1.198988792E0,-1.690368652E0,1.785081673E1,-1.349102783E1,2.243918082E1
1.208992917E0,-1.914337158E0,1.771614647E1,-1.343161011E1,2.231445008E1
1.219002917E0,-1.914337158E0,1.771614647E1,-1.343161011E1,2.231445008E1
1.229012917E0,-1.716911316E0,1.781578064E1,-1.359161377E1,2.247402476E1
1.238991917E0,-1.716911316E0,1.781578064E1,-1.359161377E1,2.247402476E1
1.249001917E0,-1.601463318E0,1.803705215E1,-1.348748779E1,2.257902261E1
1.259011917E0,-1.601463318E0,1.803705215E1,-1.348748779E1,2.257902261E1
1.269020917E0,-2.041664124E0,1.792604065E1,-1.349969482E1,2.253337716E1
1.279030917E0,-2.041664124E0,1.792604065E1,-1.349969482E1,2.253337716E1
1.289040917E0,-1.941352844E0,1.761822891E1,-1.327001953E1,2.214191182E1
1.299050917E0,-1.941352844E0,1.761822891E1,-1.327001953E1,2.214191182E1
1.309059917E0,-1.802833557E0,1.774237442E1,-1.351791382E1,2.237802612E1
1.319069917E0,-1.802833557E0,1.774237442E1,-1.351791382E1,2.237802612E1
1.329079917E0,-1.513305664E0,1.737480164E1,-1.354681396E1,2.208370428E1
1.339089917E0,-1.513305664E0,1.737480164E1,-1.354681396E1,2.208370428E1
1.349098917E0,-1.620117188E0,1.777058411E1,-1.357821655E1,2.242289910E1
1.359108917E0,-1.620117188E0,1.777058411E1,-1.357821655E1,2.242289910E1
1.369118917E0,-1.590469360E0,1.783630180E1,-1.347296143E1,2.240946105E1
1.379128917E0,-1.590469360E0,1.783630180E1,-1.347296143E1,2.240946105E1
1.389137917E0,-1.721733093E0,1.801569939E1,-1.344778442E1,2.254712166E1
1.399147917E0,-1.721733093E0,1.801569939E1,-1.344778442E1,2.254712166E1
1.409157917E0,4.111076355E0,3.342942810E1,-8.662109375E0,3.477728786E1
1.419167917E0,4.111076355E0,3.342942810E1,-8.662109375E0,3.477728786E1
1.429177917E0,6.175445557E0,3.904273987E1,-6.991119385E0,4.014159208E1
1.439186917E0,6.175445557E0,3.904273987E1,-6.991119385E0,4.014159208E1
1.449166917E0,6.727149963E0,3.972980499E1,-6.954437256E0,4.089102773E1
1.459175917E0,6.516052246E0,3.971141434E1,-6.971160889E0,4.084179783E1
1.469185917E0,6.516052246E0,3.971141434E1,-6.971160889E0,4.084179783E1
1.479195917E0,6.548316956E0,3.968207169E1,-7.125396729E0,4.084505535E1
1.489205917E0,6.548316956E0,3.968207169E1,-7.125396729E0,4.084505535E1
1.499214917E0,6.417312622E0,3.984159851E1,-6.814178467E0,4.092637171E1
1.509224917E0,6.417312622E0,3.984159851E1,-6.814178467E0,4.092637171E1
1.519234917E0,6.400138855E0,3.967889023E1,-6.811004639E0,4.076476286E1
1.529244917E0,6.400138855E0,3.967889023E1,-6.811004639E0,4.076476286E1
1.539253917E0,6.411933899E0,3.968038559E1,-6.748382568E0,4.075765651E1
1.549263917E0,6.411933899E0,3.968038559E1,-6.748382568E0,4.075765651E1
1.559273917E0,6.696800232E0,3.942991257E1,-6.944946289E0,4.059307105E1
1.569283917E0,6.696800232E0,3.942991257E1,-6.944946289E0,4.059307105E1
1.579292917E0,6.351547241E0,3.987692642E1,-7.040161133E0,4.098872140E1
1.589302917E0,6.351547241E0,3.987692642E1,-7.040161133E0,4.098872140E1
1.599312917E0,6.359107971E0,3.972160339E1,-6.974700928E0,4.082757014E1
1.609322917E0,6.359107971E0,3.972160339E1,-6.974700928E0,4.082757014E1
1.619332917E0,6.332824707E0,3.959656906E1,-6.932769775E0,4.069467099E1
1.629341917E0,6.332824707E0,3.959656906E1,-6.932769775E0,4.069467099E1
1.639351917E0,6.374641418E0,3.948626709E1,-6.829132080E0,4.057632791E1
1.649330917E0,6.374641418E0,3.948626709E1,-6.829132080E0,4.057632791E1
1.659340917E0,6.314094543E0,3.958477783E1,-6.818603516E0,4.066098597E1
1.669350917E0,6.314094543E0,3.958477783E1,-6.818603516E0,4.066098597E1
1.679360917E0,6.835784912E-1,2.380390930E1,-1.145599365E1,2.642599418E1
1.689369917E0,6.835784912E-1,2.380390930E1,-1.145599365E1,2.642599418E1
1.699379917E0,-1.612007141E0,1.839517021E1,-1.334405518E1,2.278255172E1
1.709389917E0,-1.612007141E0,1.839517021E1,-1.334405518E1,2.278255172E1
1.719399917E0,-1.941261292E0,1.793310547E1,-1.349798584E1,2.252910093E1
1.729408917E0,-1.941261292E0,1.793310547E1,-1.349798584E1,2.252910093E1
1.739418917E0,-1.957542419E0,1.790226746E1,-1.351437378E1,2.251580447E1
1.749428917E0,-1.957542419E0,1.790226746E1,-1.351437378E1,2.251580447E1
1.759438917E0,-2.064247131E0,1.797692108E1,-1.351861572E1,2.258724815E1
1.769448917E0,-2.064247131E0,1.797692108E1,-1.351861572E1,2.258724815E1
1.779457917E0,-1.719146729E0,1.776939392E1,-1.338619995E1,2.231360963E1
1.789467917E0,-1.719146729E0,1.776939392E1,-1.338619995E1,2.231360963E1
1.799477917E0,-1.735305786E0,1.776356125E1,-1.344573975E1,2.234599095E1
1.809487917E0,-1.617591858E0,1.821897507E1,-1.352017212E1,2.274516894E1
1.819496917E0,-1.617591858E0,1.821897507E1,-1.352017212E1,2.274516894E1
1.829506917E0,-1.733398438E0,1.809535980E1,-1.344161987E1,2.260804860E1
1.839516917E0,-1.733398438E0,1.809535980E1,-1.344161987E1,2.260804860E1
1.849526917E0,-1.573669434E0,1.793901634E1,-1.345614624E1,2.248004925E1
1.859505917E0,-1.573669434E0,1.793901634E1,-1.345614624E1,2.248004925E1
1.869515917E0,-1.879653931E0,1.786271095E1,-1.329333496E1,2.234552071E1
1.879524917E0,-1.879653931E0,1.786271095E1,-1.329333496E1,2.234552071E1
1.889534917E0,-1.766746521E0,1.771034813E1,-1.340420532E1,2.228117018E1
1.899544917E0,-1.766746521E0,1.771034813E1,-1.340420532E1,2.228117018E1
1.909554917E0,-1.589462280E0,1.760732269E1,-1.362594604E1,2.232063190E1
1.919563917E0,-1.589462280E0,1.760732269E1,-1.362594604E1,2.232063190E1
1.929573917E0,-1.648086548E0,1.811706161E1,-1.348141479E1,2.264271750E1
1.939583917E0,-1.648086548E0,1.811706161E1,-1.348141479E1,2.264271750E1
