"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.619198759666141E9,"2021-04-23 10:25:59.666 UTC-07:00"
"PAUSE",5.490358954167459E1,1.619198814569167E9,"2021-04-23 10:26:54.569 UTC-07:00"
