"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.619239768204975E9,"2021-04-23 21:49:28.205 UTC-07:00"
"PAUSE",2.589716145832790E1,1.619239794101753E9,"2021-04-23 21:49:54.102 UTC-07:00"
